"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2083567039.10615","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","96532505679.5888","93865686373.3696","90618833344.8507","96981227476.1581","103300575956.782","93817983239.7651","92796036461.0459","97234192932.9195","98176113495.5642","99454986239.5942","99456864684.8471","100752748145.429","103530538635.413","102588395610.044","98124009314.0491","96018803525.4444","101743744588.048","109566454761.881","113519644250.295","122491633261.488","132805997350.32","137294034872.82","150542236756.04","192705825000.094","193101327593.242","204217824568.672","219356636139.29","242394534276.306","258316432775.65","277711487746.935","304643853845.837","339641741445.308","366116736545.02","352233369506.398","376987124456.078","230279231599.175","194727165693.867","206265731753.139","220118907374.775","217545102289.599","213054768371.476","215412971940.386","219581344447.212","214560340506.355","193437924929.853","212513399707.763","237163617737.648","245028080171.302","254120455772.208","262660776637.167",
"Afghanistan","AFG","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13772095875.8891","13593058629.5136","15372390003.8792","18897279031.7959","21597700205.6769","25174319776.7615","27847788106.3574","27109677221.3111","26464756389.7881","25108675453.3204","26414292556.6547","26104214973.9078","26288153711.0163","26813916785.7297","21881356121.0979","21006101876.3837","17351976230.959","14527830536.1625","13365604093.2695","13098292011.3781","13671041132.5935","10081546694.7994","10233525624.3768","",
"Albania","ALB","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295304643.403764","341321532.260027","278946713.997263","373324097.426732","646212050.555773","897467686.771525","1036181740.55164","1072990715.39903","1199316606.90281","1420996686.30807","1765827911.87516","2064737149.02342","2459353868.77314","2345594806.30354","2456108288.51646","2927523376.72838","3122909071.83878","3132077566.72481","3181846159.51174","3176448581.08694","3104897798.78826","3340024538.67096","3773046407.80426","3941561635.99422","4039315332.48449","2919393222.72408","4440320287.86221","5197061339.25624","5641623298.36076","5647813716.48705","6066935414.00428",
"Andorra","AND","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","571442862521.998","573950850378.114","653494576920.521","733975478191.395","796840475972.528","853970093709.626","905403179989.108","974564459078.253","917631369897.073","1015154065418.42","924962743866.832","1006131638601.48","1022131183623.81","1019504792494.99","1035509272286.29","1059417422596.85","1103602656635.5","1155379503472.06","1146951918915.03","1060557252198.63","1103646164808.16","1254076233277.4","1318242626240.25","","",
"United Arab Emirates","ARE","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95458587999.4621","98465923696.2318","121024659935.55","150729417904.162","168036554592.765","187413260842.114","203965722608.142","229329318290.333","219469864823.175","233208262073.098","270676024381.848","313077885792.662","335184283851.995","349017260579.578","358529611980.939","377223222838.345","376019440269.446","382343002835.075","385217109725.96","400043503212.021","416370930595.486","451594133243.544","482662714742.742","","",
"Argentina","ARG","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","5232423634.42914","4675767446.08636","6791012783.09319","6791012783.09319","6234376464.1382","6791012783.09319","7904292800.74654","7904292800.74654","7347660171.89877","8906251165.38089","9013135452.44428","8118045999.66209","8282808731.53228","9440628603.95403","9462883794.69975","8583388373.73457","11288671241.9483","14372484706.686","15652680713.1575","15151716645.7701","14372484706.686","15120415374.0935","15717150490.8118","16123062538.4867","15705233732.1126","18148029532.2584","16284164980.3063","15717150490.8118","18659332788.746","20045781619.3356","23656348273.5258","22799008061.799","22564247943.5963","23463026769.6373","27051830214.4022","33146105665.3658","35680720379.3792","40025718989.1159","44277808443.6758","43719784992.0728","44901264661.8391","46132004177.4208","47558846392.9744","50410174346.9503","54500535536.2542","61523927130.2795","64945397756.2739","70247833528.5135","70767579313.6332","64152858356.3363","73068125669.1088","76099586869.35","72973178922.7426","70404347638.8073","65490710336.0292","63671789068.8987","67057443560.298","68811257871.9443","69255776018.3655","76008924331.3521","62754707866.8981","68059391434.0607","71160809397.8913","64415001350.2887","77171821698.9856","83004541897.3191",
"Armenia","ARM","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1322190455.87669","685215191.689409","739059772.746065","688211595.517639","687729123.664429","779493088.24342","925721954.770312","1178101878.01863","1583599494.63769","2067475203.50871","2015694730.98391","2344004111.10915","2171975698.5923","2095777798.81707","1821650367.38588","1631549213.26802","2063909265.03368","2371396176.65447","2588036908.85718","2810608083.0189","2990487000.43071","3137020863.27486","3805206307.28842","4539611124.51916","4766591680.78913","5653177733.41591","3736750481.78791","4416839069.47331","7301034981.8394","9659269280.97352","12325227602.5222","8566033183.75292",
"American Samoa","ASM","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771192592.592592","756133333.333333","632488888.888889","664985185.185185","620600000","628525925.925926","626148148.148148","492200000","413733333.333333","365385185.185185","382822222.222222","381237037.037037","398674074.074074","428000000","423244444.444444","330511111.111111","374896296.296296","355081481.481482","391540740.740741","284540740.740741","293259259.259259","","","",
"Antigua and Barbuda","ATG","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1016366666.66667","","","","","","","","","","",
"Australia","AUS","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","14471130715.6537","15193101591.3114","17250991122.2699","16866964060.7498","19648311023.7331","19596777069.6711","19881204854.5904","22061487526.4462","23120906697.4525","24628770372.5564","28672699210.0598","31446613391.2073","33800823158.0225","34481665974.1883","32397513947.4098","35566852122.2256","36956286806.7447","39596906433.6354","40488344735.151","43361858192.8991","46425650865.6456","44172031413.0092","45215098463.9766","45450469888.7792","48918605893.3971","56470807757.4321","58607980294.6398","64482851057.7131","69932071180.9854","70657510688.1665","73957170304.5046","82282381479.4703","90062026467.683","96736169037.507","105915159086.02","110589387823.205","121603779466.389","134839086322.132","141013745952.586","143714818871.741","157930757411.03","171579326936.848","170736944995.449","171597661132.043","173878534118.077","179894132217.243","185269520040.946","192970377541.698","200726733146.825","205586781429.907","215269714086.892","217102142568.829","227096261025.343","239145295900.08","253672915757.687","271152836560.501","288540590868.551","304408589050.56","316968999315.606","329396115026.394","323769499176.639","296226087286.843","295235049708.727","315060756458.943","326974514704.267","329564591414.674",
"Austria","AUT","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","22279010417.4139","23706667807.2891","26111733052.3197","27532399230.3949","30481399740.0511","29750093015.6137","33040277100.5972","33831365396.7018","36784359637.4627","40949899744.8598","42457498319.0139","44530886378.1665","44493072509.9419","45197819831.3497","48958411972.4813","53342343700.3034","51180783660.7728","52937220053.5167","57308213620.2162","63350832444.0364","68781405428.9622","70801719420.5735","71735867311.345","70033459771.5841","74017024320.8941","79350243017.4511","83030892883.1204","92187392204.9524","99425475511.061","105822469225.871","120134515313.352","127067478654.246","132513861794.903","133218167187.049","144756293135.297","154404452400.434","166102399610.972","178679359399.369","182557895367.726","156327773285.37","176855289279.486","187352289902.525","190045838931.235","191248245522.072","196708951535.537","202662480693.772","208727918344.057","218954655763.195","230232865108.179","239523378114.608","214400036769.165","234785495966.124","256962745896.753","255345985339.071","249493419012.583","250230140188.862",
"Azerbaijan","AZE","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20060045053.3105","","","","","","","","","","",
"Burundi","BDI","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","56822038450.6571","59381797495.8666","65947323875.2884","75261238543.6403","78050033085.4533","71583282569.1203","80793914928.7805","82522850938.9447","84408994847.4919","90314393138.2209","90178600274.0293","93237005543.5852","95827888876.8153","98344898575.7391","104709714304.253","105057980643.33","107933808673.852","113293931351.819","124207305939.309","134332333459.204","140476580900.944","144768688886.58","150077099912.903","149413284438.819","161855860584.792","169935620493.32","178390130046.515","195320352157.054","203402248510.418","213265735359.682","239704159463.147","240615565753.203","248912828661.408","252933650128.567","268598795534.652","283401506056.206","299557226553.23","315841241369.781","321550446218.152","285194290016.227","314953621190.98","330136371345.291","327928030029.825","328847508529.582","346341386136.227","359051241755.781","381113129017.898","402136391965.061","408349410328.282","420340731654.92","395297400646.838","453215612886.15","467043738623.049","433645347685.297","426274343932.998","425048767241.352",
"Benin","BEN","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","88037515.7275728","68934917.0878551","50663003.8078171","55646408.4562143","83054127.5385928","122924038.674891","135382905.187373","149502468.966709","167774971.127178","235051246.499524","266612154.839331","341362719.974462","357312543.653357","332269154.356279","329212971.645226","331375083.616833","319523551.088463","342107790.093152","375198953.455079","509883157.115744","565183754.330923","617134835.210923","457270148.653249","331709645.400149","455111528.239754","581031716.459711","450940224.748395","422877126.697178","345895078.923151","352656992.368916","616946150.58175","723640631.007947","875446744.966132","993600960.006715","1017938919.90953","1000047049.98242","972220628.320517","1064221203.891","1182195665.72243","1345201302.4952","1203033053.31418","1260637055.76408","1386999173.51771","1411935281.59857","1338386379.15449","1472663485.59294","1468317539.10932","1868212358.17293","2056764575.21651","1956709506.10994","2050588298.40677","1851462005.57757","2297584683.78615","2819876654.57188","3523229759.57083","2815204783.04203","3194730426.32522","3418361556.16799","3589279633.97639","3898480205.13965","2925224402.27494","3292357505.92337","3768869945.46579","3930910040.95795","4103098785.43709","4077558018.81985",
"Burkina Faso","BFA","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","113861492.6865","117660684.653774","117660684.653774","151816723.599404","144222565.048096","163206274.142431","165287210.438451","222280436.84616","205184517.627728","220377897.495526","216580817.925562","199484061.308273","208983297.011826","305128719.662107","378447079.780211","341028276.253763","385901540.923164","332054968.26959","260260079.85045","296155861.787431","292949471.290739","307757695.67063","386021838.661251","373670368.782182","306012553.30709","388347995.306413","386743400.161883","336974501.982875","360084096.475371","497635335.862384","497138045.296256","404126301.81076","432739594.066693","587141869.611653","539153163.035012","561637276.500575","553730647.765363","543329435.947663","590999090.650605","682953723.625408","727621553.083681","871545498.749587","933250386.902866","1010290809.7397","1348748833.11257","1931051257.71716","2385055460.1171","2389768813.5731","2854634634.44528","3041967324.70608","3089098213.34422","3169923745.31804","3440797093.29432","3963719348.46255","3969250044.50775","4441419243.36551","5036275185.98253","4681589029.55266","4505345021.94508","4315234580.99775","4636221138.16834",
