"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","443175.996028381","424758.880137153","370949.720670391","620475.925192845","736254.690785397","384770.536246631","332282.945395923","309587.605277186","667361.034237045","834426.501546094","1042764.68152792","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","48452347342.9859","47639603634.5731","46660989027.6216","45929654605.7424","49286931937.8983","52418474055.9348","52410831518.3025","57280833597.7358","55840379261.2897","56733091028.8673","55292879745.2028","58975714188.3292","58579105872.5731","60657448803.2075","67300340687.0531","69913572582.6258","70609015380.6053","73444782293.1726","73073363802.3629","77077172598.3481","77412289401.4512","78937442760.6316","80641738174.5826","84520418748.4783","89068302196.8205","91066388129.8193","94240663370.9122","96774288646.8257","101006772566.945","102412113907.532","103703991191.076","109627443013.545","115089883764.847","118258398970.597","120791610686.777","125485638285.658","128305235182.63","130395653562.792","135415338009.103","140519693638.211","144669889241.375","146828783215.255","150211419595.723","159096056750.074",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3251434260.06993","3342419479.68623","2599187183.35852","3059194012.80851","2902892107.43922","3329630202.35891","2832971581.44005","4095427430.14251","3834338423.38109","3543223044.8745","4188967984.85391","4189188635.13075","4184969908.2431","3948217043.4989","4183994768.30679","4452233141.52337","4255653185.52791","4998682776.44351","5295721521.92899","4777766384.05654","4464150076.56738","4563471480.41964","4683698244.81767","",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","31368243804.4701","31998967221.403","31348815587.9215","30844236140.4004","35671196791.7559","38288264669.3963","37721460898.7102","40480027140.1775","42196425577.261","43247147845.1502","45237844844.656","45058907956.7535","46764839423.4377","47966020068.2358","49735599430.9613","51659030049.7413","53231186554.9809","55898622188.1322","59001515388.321","59699460542.5131","61687582886.2278","83077977234.1118","88966595786.7939","93132024149.8229","98667521223.2879","103916380419.144","109742050569.951","117057799032.518","122859548946.296","130136972651.166","132495084524.925","140635316918.207","144666822186.998","151436002175.306","156997043735.207","164176187142.436","171627429471.397","177437737235.605","181795516225.664","187186608460.931","194633793172.944","201818205972.409","206167197586.969","212548949928.161","220682134188.259",
"Angola","AGO","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5701223554.43051","6175893097.45563","6756616788.61241","7051818701.77238","8050044888.32757","8498681936.42316","8980158242.66753","9456922343.57","10478138777.7239","11272115284.8654","11985985362.7656","12534251856.625","13505023489.7041","14011251327.8833","14354634532.2206","14342958154.5157","14242104307.7685","14156490715.7008","14762000628.4303","16090785670.997","16710322936.0247","17156939167.5301","18158834826.8023","18748637467.2923",
"Albania","ALB","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1241174685.29241","1278415072.72808","1059650409.07279","1114635397.96385","1174771867.21917","1253435414.09653","1287186512.18768","1313541707.68079","1352214312.90834","1437513014.34857","1450732800.8592","1495966941.96088","1546962581.01218","1656355555.78312","1677837142.71953","1799563663.64442","1885481672.75603","2005532096.59817","2108958321.75437","2140802982.34657","2150331496.48615","2233384501.20317","2171325107.76555","2201712408.83368","2251226723.98616","2291628576.62619","2253076760.91302","2144344149.00308","2114791958.60161","2072577426.58615","2032212520.15829",
"Andorra","AND","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11589572.4748687","10711915.5301699","9777998.52491346","11533312.414311","12343457.2863407","11938384.8503259","11623328.5112032","12320953.2621177","12838545.8192477","12512237.4680135","13659942.7033889","14368819.4664148","16731742.0098347","15719060.9197976","14796395.9266527","14323811.4179687","15100200.2536638","16247905.4890392","16124133.3558124","15730312.9319091","14953924.096214","15392752.5685634","15460264.6412326","15572784.7623478","16585465.8523849","16979286.2762882",
"Arab World","ARB","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","36142321701.1209","36464003960.774","38628803458.5272","40234276394.6313","41498514307.8291","40111577589.9737","42933246841.0246","42418257005.5364","46855542367.887","49513510894.6183","48469336462.5734","47193051765.0273","48662425343.1702","50114102985.3452","54598821148.8677","54117511472.0336","56260269791.9256","59471826487.3831","64469926272.3856","66203243278.4206","68943830586.8222","75478707516.8699","75110564657.5175","77073388265.1095","81397067097.9381","81770798968.8063","86655681246.8261","85024692272.5736","92247476302.9932","93624180776.167","100517484659.823","102034676909.59","100064651472.215","104720880113.608","108711853018.937","110647070757.197","112614207320.95","116515114027.749","123439029800.499","116977083044.839","118413310599.382","126243154395.364","129868337256.674","136642170977.841","138162318782.467","146008887462.661","145296230411.886","145046776699.256","146159833760.271","149675166727.114","154599771013.646","161616912411.506","164781733365.73","165913430475.433","165563072214.43","168230065976.53","173667381566.161","177142346375.101",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","158989673.935377","207942897.790139","243899690.533017","281156126.387083","317112919.129961","358268284.317594","441878657.804044","467438305.657417","535452961.809607","606500118.55457","660651914.854086","767549064.965891","745986120.522739","776724786.005532","878575289.545539","950604699.706712","1163940213.87835","1277260368.7179","1404344105.11691","1847473092.75977","1984600570.52786","2218731408.77498","2637609556.29808","2747399723.38572","3239030391.26808","3850592486.65183","3764191439.36648","3885032498.80997","3763951398.82942","3689769731.06753","3541677656.89574","3235608555.82537","3175997515.45808","2830076967.58743","2818456105.13327","2513784267.33159","2645588652.03675","2726430602.96625","2736963354.67303","2744070879.90498","2736011218.07085","2814023793.189","2966870095.83707","3103893966.09261","3416326956.73281","3309119223.69601","4066942040.34676","3840277269.15366","3884541418.23905","3954601764.34304","",
"Argentina","ARG","Agriculture, forestry, and fishing, value added (constant 2015 US$)","NV.AGR.TOTL.KD","","","","","","12080720590.1236","12191559155.5791","12501897650.2677","11969896101.632","12501897650.2677","11340359482.141","11518813203.9382","11740460694.071","12998419992.257","13353068427.7434","12986231182.7123","13599135075.3286","13931621874.0639","14319534275.893","14729623081.7406","13844883571.4038","14328638161.1048","15400165410.87","15712405692.4215","15768704846.0231","15501406603.612","15529112670.1102","15105479666.2067","16293702876.2297","14954732771.8546","16222970488.1247","16887000663.6849","16918748008.076","17329141372.9616","18590284980.8369","19622510244.661","19447851985.3836","19566272810.0938","21189505888.6169","21692618814.0072","21309553905.1102","21627306251.685","21054073058.3352","22479521818.3386","22565691393.7466","26805441683.8882","26664565467.9468","28941074857.2303","28308474667.7607","20919550472.0058","29187788960.0483","28478968410.7691","24812257628.4822","27659866055.0582","28518498329.828","30669352557.5967","29222696570.8725","30229437340.2712","25821525209.2828","31356470763.9599","29000518281.8022","29541085598.7158","28334814893.8508","21716725482.5526","28406248462.9418","29864467117.726",
