iso3,population_norm,agri_share_gdp_norm,export_concentration_norm,landlocked_norm,export_instability_norm,agri_instability_norm,exposure_index,exposure_n_components,econ_instability_index,econ_instability_n_components,evi,evi_rank,partial_index,country,gni_per_capita_atlas,is_ldc
CAF,0.9776795127214098,0.8685955733912694,0.5035821423558559,1.0,0.213205589291453,1.0,0.8374643071171337,4,0.6066027946457265,2,0.7220335508814302,1.0,False,Central African Republic,520.0,True
SSD,0.951122049759016,,,1.0,0.5238243036835857,0.36250667071132997,0.975561024879508,2,0.44316548719745785,2,0.7093632560384829,2.0,False,South Sudan,,True
SDN,0.779118310799263,0.6224131826310978,,0.0,1.0,0.07696807129450274,0.467177164476787,3,0.5384840356472513,2,0.5028306000620192,3.0,False,Sudan,720.0,True
TCD,0.9177897399006626,0.8437913491120279,,1.0,0.03885318049679553,0.07195974229687396,0.9205270296708968,3,0.05540646139683475,2,0.48796674553386576,4.0,False,Chad,920.0,True
BDI,0.9408099415122608,0.8463799354441635,0.5023414191785573,1.0,,0.06835087355844985,0.8223828240337454,4,0.06835087355844985,1,0.4453668487960976,5.0,False,Burundi,280.0,True
MWI,0.9083138740818553,0.6524440352827194,0.7116611979713129,1.0,,0.03982946320148489,0.8181047768339719,4,0.03982946320148489,1,0.42896712001772835,6.0,False,Malawi,610.0,True
LSO,0.9902873061360461,0.10961260634319162,0.6766689844163921,1.0,0.06881073662704049,0.20699683524342063,0.6941422242239075,4,0.13790378593523056,2,0.416023005079569,7.0,False,Lesotho,1270.0,True
LBR,0.9764453570310118,0.8682429010744244,0.2647328951667194,0.0,,0.2903346875721142,0.5273552883180389,4,0.2903346875721142,1,0.40884498794507657,8.0,False,Liberia,660.0,True
GMB,0.988716403563203,0.5336520611954481,0.766016549002629,0.0,0.21651785568539111,0.2731796648953911,0.57209625344032,4,0.2448487602903911,2,0.4084725068653555,9.0,False,"Gambia, The",830.0,True
ETH,0.4383543144658022,0.9043330429616039,0.7698988404402054,1.0,0.053182966502794374,0.017569395417799668,0.7781465494669029,4,0.03537618096029702,2,0.40676136521359996,10.0,False,Ethiopia,960.0,True
NER,0.8870466752745576,1.0,0.032469735044307016,1.0,0.0838068525259087,0.07928184860032995,0.7298791025797162,4,0.08154435056311933,2,0.4057117265714178,11.0,False,Niger,650.0,True
STP,0.9995228152525404,0.3097486921732415,1.0,0.0,0.31886951761971,0.13328976961059605,0.5773178768564455,4,0.22607964361515304,2,0.4016987602357993,12.0,False,São Tomé and Principe,2820.0,False
BWA,0.9895977966616285,0.0,0.8460393155573297,1.0,0.11091281340530627,0.07043144851176401,0.7089092780547396,4,0.09067213095853514,2,0.39979070450663734,13.0,False,Botswana,7690.0,False
ZWE,0.92848896918903,0.38822608429793853,0.20372774517885509,1.0,0.23156357941917838,0.10237228354351856,0.6301106996664558,4,0.16696793148134847,2,0.39853931557390215,14.0,False,Zimbabwe,2580.0,False
MLI,0.8970871307236736,0.7808406443423181,0.20164011759332898,1.0,0.0412821031610749,0.09252791591514295,0.7198919731648301,4,0.06690500953810892,2,0.39339849135146954,15.0,False,Mali,1000.0,True
