iso3,population_norm,agri_share_gdp_norm,export_concentration_norm,landlocked_norm
AGO,0.8407613823472752,0.4476303335608354,0.9117239702890518,0.0
BDI,0.9408099415122608,0.8463799354441635,0.5023414191785573,1.0
BEN,0.9388442777049065,0.6348683322228943,0.5727998204105462,0.0
BFA,0.8996141424597721,0.47771358809558956,0.26083581944809214,1.0
BWA,0.9895977966616285,0.0,0.8460393155573297,1.0
CAF,0.9776795127214098,0.8685955733912694,0.5035821423558559,1.0
CIV,0.8642559933076215,0.3762669831149034,0.22950220453487066,0.0
CMR,0.8766409567300635,0.37530982916946287,0.41410574439572156,0.0
COD,0.5414221263160803,0.21960360813441226,0.6445972170277326,0.0
COG,0.9734780119238841,0.16204976468562562,0.8068906145730684,0.0
COM,0.9967972616257349,0.8421949986925233,0.49757163501407425,0.0
CPV,0.9982071417528121,0.08461585075935614,0.7757022859384068,0.0
ETH,0.4383543144658022,0.9043330429616039,0.7698988404402054,1.0
GAB,0.9896387999269232,0.12353818038457384,0.3934676056745408,0.0
GHA,0.8519072625135935,0.4497247835861591,0.1663782529767191,0.0
GIN,0.9375187401063649,0.6721148796894689,,0.0
GMB,0.988716403563203,0.5336520611954481,0.766016549002629,0.0
GNB,0.9910969737850545,0.9551261035586478,,0.0
GNQ,0.9924509737923538,0.022819781386256913,,0.0
KEN,0.7572867510294017,0.48790566863829254,0.2244750150912071,0.0
LBR,0.9764453570310118,0.8682429010744244,0.2647328951667194,0.0
LSO,0.9902873061360461,0.10961260634319162,0.6766689844163921,1.0
MDG,0.8640665174204603,0.5022649046713734,0.06003040665556359,0.0
MLI,0.8970871307236736,0.7808406443423181,0.20164011759332898,1.0
MOZ,0.8541172959180054,0.6033112847011087,0.1288077016494615,0.0
MRT,0.9786766924051793,0.4927708152208801,0.307794830418542,0.0
MUS,0.9948767440051769,0.04953541263208942,0.276867914591935,0.0
MWI,0.9083138740818553,0.6524440352827194,0.7116611979713129,1.0
NAM,0.9875811713328592,0.18002945338267506,0.04419141160972823,0.0
NER,0.8870466752745576,1.0,0.032469735044307016,1.0
NGA,0.0,0.6763673778316042,0.8093331083032012,0.0
RWA,0.9393306270969001,0.5102833062556975,0.13035402601027543,1.0
SDN,0.779118310799263,0.6224131826310978,,0.0
SEN,0.9213955746729363,0.36997243766614596,0.0,0.0
SLE,0.9634269301501373,0.8069000213682812,,0.0
SSD,0.951122049759016,,,1.0
STP,0.9995228152525404,0.3097486921732415,1.0,0.0
SWZ,0.9950722594110206,0.15024505066374866,0.3813465397121472,1.0
SYC,1.0,0.022024790078816386,0.8180339498890423,0.0
TCD,0.9177897399006626,0.8437913491120279,,1.0
TGO,0.9643603922392535,0.4925111976677221,0.06410278610970006,0.0
TZA,0.7103903144090926,0.5686726844163258,0.16484726342509093,0.0
UGA,0.7884023423145564,0.562522647162023,0.34567872098032865,1.0
ZAF,0.7208525856255563,0.025728493113606324,0.03198357711604191,0.0
ZMB,0.9101781439207707,0.03797204877640916,0.4714924480515182,1.0
ZWE,0.92848896918903,0.38822608429793853,0.20372774517885509,1.0
