iso3,country,n_required,n_present,n_missing,missing_share
ERI,Eritrea,5,1,4,0.8
SOM,"Somalia, Fed. Rep.",5,2,3,0.6
SSD,South Sudan,5,3,2,0.4
BDI,Burundi,5,4,1,0.19999999999999996
ZMB,Zambia,5,4,1,0.19999999999999996
TCD,Chad,5,4,1,0.19999999999999996
NGA,Nigeria,5,4,1,0.19999999999999996
MWI,Malawi,5,4,1,0.19999999999999996
LBR,Liberia,5,4,1,0.19999999999999996
GNQ,Equatorial Guinea,5,4,1,0.19999999999999996
SDN,Sudan,5,4,1,0.19999999999999996
SLE,Sierra Leone,5,4,1,0.19999999999999996
GNB,Guinea-Bissau,5,4,1,0.19999999999999996
GIN,Guinea,5,4,1,0.19999999999999996
BEN,Benin,5,5,0,0.0
AGO,Angola,5,5,0,0.0
GHA,Ghana,5,5,0,0.0
GAB,Gabon,5,5,0,0.0
ETH,Ethiopia,5,5,0,0.0
CPV,Cabo Verde,5,5,0,0.0
COG,"Congo, Rep.",5,5,0,0.0
COM,Comoros,5,5,0,0.0
COD,"Congo, Dem. Rep.",5,5,0,0.0
CMR,Cameroon,5,5,0,0.0
BFA,Burkina Faso,5,5,0,0.0
CIV,Côte d'Ivoire,5,5,0,0.0
CAF,Central African Republic,5,5,0,0.0
BWA,Botswana,5,5,0,0.0
MDG,Madagascar,5,5,0,0.0
LSO,Lesotho,5,5,0,0.0
GMB,"Gambia, The",5,5,0,0.0
KEN,Kenya,5,5,0,0.0
NER,Niger,5,5,0,0.0
NAM,Namibia,5,5,0,0.0
MRT,Mauritania,5,5,0,0.0
MUS,Mauritius,5,5,0,0.0
MOZ,Mozambique,5,5,0,0.0
MLI,Mali,5,5,0,0.0
SEN,Senegal,5,5,0,0.0
RWA,Rwanda,5,5,0,0.0
SWZ,Eswatini,5,5,0,0.0
STP,São Tomé and Principe,5,5,0,0.0
TGO,Togo,5,5,0,0.0
SYC,Seychelles,5,5,0,0.0
TZA,Tanzania,5,5,0,0.0
UGA,Uganda,5,5,0,0.0
ZAF,South Africa,5,5,0,0.0
ZWE,Zimbabwe,5,5,0,0.0
