iso3,pca_score,pca_rank
CAF,4.141793068449738,1.0
STP,3.240405939841161,2.0
GMB,2.293138420199188,3.0
CPV,1.8365920288934345,4.0
BWA,1.3868212627413679,5.0
ZWE,1.1669408293938919,6.0
SYC,1.1585803814566196,7.0
LSO,1.1168388075132054,8.0
AGO,0.4801167447256345,9.0
COG,0.23183802671403045,10.0
GAB,0.12702347024163468,11.0
COM,0.0860095373513247,12.0
BFA,0.027986752927480825,13.0
BEN,-0.05675480476379823,14.0
COD,-0.07316556533113516,15.0
SWZ,-0.10025628407825359,16.0
MUS,-0.3974857304173856,17.0
GHA,-0.4668486253227276,18.0
UGA,-0.5235977945684039,19.0
RWA,-0.6612014790881237,20.0
MLI,-0.6926580865324947,21.0
NAM,-0.7260685771572593,22.0
NER,-0.7417337550222275,23.0
MDG,-0.8036209995111653,24.0
MRT,-0.8184303510186527,25.0
CMR,-0.9316254920293318,26.0
TGO,-0.9619463190366899,27.0
CIV,-0.9879826314508757,28.0
ETH,-1.1084564474227276,29.0
SEN,-1.1853156950870967,30.0
KEN,-1.201348172266736,31.0
MOZ,-1.3173898725188853,32.0
ZAF,-1.7095675637037937,33.0
TZA,-1.8286310241209482,34.0
