iso3,export_instability_norm,agri_instability_norm
AGO,0.0803928047621008,0.09390229934581451
BDI,,0.06835087355844985
BEN,0.07893794892224935,0.03898842186917771
BFA,0.10708673834117548,0.07964034480780202
BWA,0.11091281340530627,0.07043144851176401
CAF,0.213205589291453,1.0
CIV,0.02869858596301467,0.10265502054628353
CMR,0.02759421875798529,0.009714167617342248
COD,0.0582028371928154,0.36465968056816495
COG,0.03017945543761128,0.06719043319806105
COM,0.10526208857285219,0.023002644932837855
CPV,0.17227898612254963,0.18705189582276274
ETH,0.053182966502794374,0.017569395417799668
GAB,0.05069036772141286,0.1870872584452785
GHA,0.12590455682338988,0.05165159750373413
GIN,0.18436717914433665,0.07143499512195138
GMB,0.21651785568539111,0.2731796648953911
GNB,0.07894732727961151,0.057672119886459795
GNQ,0.024870847520554476,0.21949857523072153
KEN,0.0669774658807748,0.02880818695659648
LBR,,0.2903346875721142
LSO,0.06881073662704049,0.20699683524342063
MDG,0.1123019471152453,0.031409080533220064
MLI,0.0412821031610749,0.09252791591514295
MOZ,0.05569501923033086,0.0016483478570493506
MRT,0.0147005903817961,0.06651477204278985
MUS,0.04944629373233558,0.06645746872186453
MWI,,0.03982946320148489
NAM,0.04172272386105349,0.1284546628196476
NER,0.0838068525259087,0.07928184860032995
NGA,,0.026204081802131646
RWA,0.06271434923471589,0.016153947373855972
SDN,1.0,0.07696807129450274
SEN,0.022196839178364944,0.13253233896203326
SLE,0.2333381051052669,0.0
SSD,0.5238243036835857,0.36250667071132997
STP,0.31886951761971,0.13328976961059605
SWZ,0.0,0.1602762558312526
SYC,0.07182284527293233,0.21652438471178703
TCD,0.03885318049679553,0.07195974229687396
TGO,0.056527175278454946,0.04680306781248318
TZA,0.02863927171269345,0.01087537057465339
UGA,0.07784418130732405,0.03719781749616043
ZAF,0.02078464361941092,0.08441554170890019
ZMB,,0.15648720920807052
ZWE,0.23156357941917838,0.10237228354351856
